true_error_probability	count_cutoff	first_step_detection_probability
0.05	257	0.00016988823234358443
0.055	257	0.017618365443236517
0.06	257	0.238398775354409
0.065	257	0.7296074520933546
0.075	257	0.9989680126730874
0.1	257	1.0
